id,timestamp,department,electricity_kWh,water_liters,electricity_cost,water_cost,total_cost,year,month,day,hour,day_name,usage_type,total_consumption,high_usage_flag
2601,2023-01-22 16:00:00,Production,137.27,499.22,1372.69,9.98,1382.67,2023,1,22,16,Sunday,Peak,636.49,1
2616,2023-01-22 19:00:00,Production,155.67,613.63,1556.65,12.27,1568.93,2023,1,22,19,Sunday,Non-Peak,769.3,1
2661,2023-01-23 04:00:00,Production,162.23,456.97,1622.26,9.14,1631.4,2023,1,23,4,Monday,Non-Peak,619.2,1
2691,2023-01-23 10:00:00,Production,146.28,499.23,1462.76,9.98,1472.74,2023,1,23,10,Monday,Peak,645.51,1
2701,2023-01-23 12:00:00,Production,143.78,533.36,1437.85,10.67,1448.51,2023,1,23,12,Monday,Peak,677.14,1
2721,2023-01-23 16:00:00,Production,157.04,479.11,1570.41,9.58,1579.99,2023,1,23,16,Monday,Peak,636.15,1
2736,2023-01-23 19:00:00,Production,155.95,484.18,1559.55,9.68,1569.23,2023,1,23,19,Monday,Non-Peak,640.13,1
2766,2023-01-24 01:00:00,Production,150.78,510.39,1507.8,10.21,1518.01,2023,1,24,1,Tuesday,Non-Peak,661.17,1
2811,2023-01-24 10:00:00,Production,142.25,496.44,1422.53,9.93,1432.46,2023,1,24,10,Tuesday,Peak,638.69,1
2826,2023-01-24 13:00:00,Production,146.3,555.81,1462.96,11.12,1474.07,2023,1,24,13,Tuesday,Peak,702.11,1
2876,2023-01-24 23:00:00,Production,137.26,479.72,1372.61,9.59,1382.21,2023,1,24,23,Tuesday,Non-Peak,616.98,1
2921,2023-01-25 08:00:00,Production,164.13,503.98,1641.29,10.08,1651.37,2023,1,25,8,Wednesday,Non-Peak,668.11,1
2961,2023-01-25 16:00:00,Production,137.28,538.46,1372.78,10.77,1383.55,2023,1,25,16,Wednesday,Peak,675.74,1
2986,2023-01-25 21:00:00,Production,139.86,522.55,1398.58,10.45,1409.03,2023,1,25,21,Wednesday,Non-Peak,662.41,1
2991,2023-01-25 22:00:00,Production,138.51,508.43,1385.06,10.17,1395.23,2023,1,25,22,Wednesday,Non-Peak,646.94,1
2996,2023-01-25 23:00:00,Production,162.38,433.75,1623.85,8.68,1632.52,2023,1,25,23,Wednesday,Non-Peak,596.13,1
3011,2023-01-26 02:00:00,Production,140.15,501.17,1401.46,10.02,1411.48,2023,1,26,2,Thursday,Non-Peak,641.32,1
3051,2023-01-26 10:00:00,Production,144.61,526.37,1446.09,10.53,1456.62,2023,1,26,10,Thursday,Peak,670.98,1
3056,2023-01-26 11:00:00,Production,145.18,590.25,1451.84,11.81,1463.64,2023,1,26,11,Thursday,Peak,735.43,1
3066,2023-01-26 13:00:00,Production,142.93,485.68,1429.27,9.71,1438.99,2023,1,26,13,Thursday,Peak,628.61,1
3071,2023-01-26 14:00:00,Production,140.44,510.56,1404.39,10.21,1414.6,2023,1,26,14,Thursday,Peak,651,1
3086,2023-01-26 17:00:00,Production,139.4,511.8,1393.97,10.24,1404.2,2023,1,26,17,Thursday,Peak,651.2,1
3101,2023-01-26 20:00:00,Production,154.89,533.18,1548.86,10.66,1559.53,2023,1,26,20,Thursday,Non-Peak,688.07,1
3106,2023-01-26 21:00:00,Production,139.24,541.05,1392.36,10.82,1403.18,2023,1,26,21,Thursday,Non-Peak,680.29,1
3116,2023-01-26 23:00:00,Production,142.83,447.11,1428.31,8.94,1437.25,2023,1,26,23,Thursday,Non-Peak,589.94,1
3146,2023-01-27 05:00:00,Production,150.19,421.75,1501.89,8.44,1510.32,2023,1,27,5,Friday,Non-Peak,571.94,1
3156,2023-01-27 07:00:00,Production,182.99,555.28,1829.93,11.11,1841.04,2023,1,27,7,Friday,Non-Peak,738.27,1
3161,2023-01-27 08:00:00,Production,154.76,521.45,1547.6,10.43,1558.03,2023,1,27,8,Friday,Non-Peak,676.21,1
3206,2023-01-27 17:00:00,Production,146.91,467.57,1469.1,9.35,1478.45,2023,1,27,17,Friday,Peak,614.48,1
3246,2023-01-28 01:00:00,Production,146.48,485.41,1464.82,9.71,1474.53,2023,1,28,1,Saturday,Non-Peak,631.89,1
3251,2023-01-28 02:00:00,Production,139.91,528.78,1399.08,10.58,1409.66,2023,1,28,2,Saturday,Non-Peak,668.69,1
3266,2023-01-28 05:00:00,Production,149.15,423.81,1491.5,8.48,1499.97,2023,1,28,5,Saturday,Non-Peak,572.96,1
3271,2023-01-28 06:00:00,Production,141.05,407.85,1410.51,8.16,1418.67,2023,1,28,6,Saturday,Non-Peak,548.9,1
3281,2023-01-28 08:00:00,Production,143.54,434.38,1435.4,8.69,1444.09,2023,1,28,8,Saturday,Non-Peak,577.92,1
3286,2023-01-28 09:00:00,Production,141.17,514.71,1411.69,10.29,1421.99,2023,1,28,9,Saturday,Peak,655.88,1
3376,2023-01-29 03:00:00,Production,140.05,479.3,1400.45,9.59,1410.04,2023,1,29,3,Sunday,Non-Peak,619.35,1
3411,2023-01-29 10:00:00,Production,149.33,429.54,1493.29,8.59,1501.88,2023,1,29,10,Sunday,Peak,578.87,1
3436,2023-01-29 15:00:00,Production,148.43,508.38,1484.34,10.17,1494.51,2023,1,29,15,Sunday,Peak,656.81,1
3506,2023-01-30 05:00:00,Production,151.12,512.34,1511.22,10.25,1521.47,2023,1,30,5,Monday,Non-Peak,663.46,1
3511,2023-01-30 06:00:00,Production,157.92,431.96,1579.22,8.64,1587.86,2023,1,30,6,Monday,Non-Peak,589.88,1
3516,2023-01-30 07:00:00,Production,156.17,544.82,1561.72,10.9,1572.61,2023,1,30,7,Monday,Non-Peak,700.99,1
3586,2023-01-30 21:00:00,Production,147.51,529.77,1475.09,10.6,1485.69,2023,1,30,21,Monday,Non-Peak,677.28,1
3596,2023-01-30 23:00:00,Production,160.74,488.91,1607.37,9.78,1617.15,2023,1,30,23,Monday,Non-Peak,649.65,1
3616,2023-01-31 03:00:00,Production,144.85,548.24,1448.48,10.96,1459.45,2023,1,31,3,Tuesday,Non-Peak,693.09,1
3631,2023-01-31 06:00:00,Production,146.32,490.07,1463.24,9.8,1473.04,2023,1,31,6,Tuesday,Non-Peak,636.39,1
3671,2023-01-31 14:00:00,Production,157.91,492.48,1579.1,9.85,1588.95,2023,1,31,14,Tuesday,Peak,650.39,1
3686,2023-01-31 17:00:00,Production,150.26,538.82,1502.65,10.78,1513.42,2023,1,31,17,Tuesday,Peak,689.08,1
3691,2023-01-31 18:00:00,Production,156.23,528.95,1562.31,10.58,1572.89,2023,1,31,18,Tuesday,Peak,685.18,1
3700,2023-01-31 19:00:00,R&D,138.34,264.37,1383.41,5.29,1388.69,2023,1,31,19,Tuesday,Non-Peak,402.71,1
3756,2023-02-01 07:00:00,Production,145.45,433.78,1454.51,8.68,1463.18,2023,2,1,7,Wednesday,Non-Peak,579.23,1
3771,2023-02-01 10:00:00,Production,146,464.3,1459.97,9.29,1469.26,2023,2,1,10,Wednesday,Peak,610.3,1
3796,2023-02-01 15:00:00,Production,142.37,508.24,1423.7,10.16,1433.86,2023,2,1,15,Wednesday,Peak,650.61,1
3801,2023-02-01 16:00:00,Production,143.5,605.8,1434.95,12.12,1447.07,2023,2,1,16,Wednesday,Peak,749.3,1
3811,2023-02-01 18:00:00,Production,150.17,449.99,1501.66,9,1510.66,2023,2,1,18,Wednesday,Peak,600.16,1
3886,2023-02-02 09:00:00,Production,149.67,489.51,1496.71,9.79,1506.5,2023,2,2,9,Thursday,Peak,639.18,1
3956,2023-02-02 23:00:00,Production,138.39,555.3,1383.89,11.11,1394.99,2023,2,2,23,Thursday,Non-Peak,693.69,1
3961,2023-02-03 00:00:00,Production,146.5,451.38,1465,9.03,1474.03,2023,2,3,0,Friday,Non-Peak,597.88,1
3966,2023-02-03 01:00:00,Production,140.46,515.14,1404.55,10.3,1414.86,2023,2,3,1,Friday,Non-Peak,655.6,1
3991,2023-02-03 06:00:00,Production,144.75,487.11,1447.47,9.74,1457.22,2023,2,3,6,Friday,Non-Peak,631.86,1
3996,2023-02-03 07:00:00,Production,148.74,497.35,1487.43,9.95,1497.38,2023,2,3,7,Friday,Non-Peak,646.09,1
4000,2023-02-03 07:00:00,R&D,164.99,495.4,1649.9,9.91,1659.81,2023,2,3,7,Friday,Non-Peak,660.39,1
4036,2023-02-03 15:00:00,Production,146.6,455.63,1466.01,9.11,1475.12,2023,2,3,15,Friday,Peak,602.23,1
4040,2023-02-03 15:00:00,R&D,142.07,242.9,1420.68,4.86,1425.53,2023,2,3,15,Friday,Peak,384.97,1
4056,2023-02-03 19:00:00,Production,140.22,495.86,1402.21,9.92,1412.13,2023,2,3,19,Friday,Non-Peak,636.08,1
4091,2023-02-04 02:00:00,Production,146.33,354.57,1463.27,7.09,1470.36,2023,2,4,2,Saturday,Non-Peak,500.9,1
4101,2023-02-04 04:00:00,Production,145.06,495.49,1450.61,9.91,1460.52,2023,2,4,4,Saturday,Non-Peak,640.55,1
4111,2023-02-04 06:00:00,Production,144.32,464.03,1443.2,9.28,1452.48,2023,2,4,6,Saturday,Non-Peak,608.35,1
4126,2023-02-04 09:00:00,Production,145.56,519.57,1455.57,10.39,1465.96,2023,2,4,9,Saturday,Peak,665.13,1
4131,2023-02-04 10:00:00,Production,168.52,518.42,1685.24,10.37,1695.6,2023,2,4,10,Saturday,Peak,686.94,1
4141,2023-02-04 12:00:00,Production,149.32,554.63,1493.17,11.09,1504.26,2023,2,4,12,Saturday,Peak,703.95,1
4151,2023-02-04 14:00:00,Production,142.28,360,1422.77,7.2,1429.97,2023,2,4,14,Saturday,Peak,502.28,1
4171,2023-02-04 18:00:00,Production,163.44,794.88,1634.35,15.9,1650.25,2023,2,4,18,Saturday,Peak,958.32,1
4191,2023-02-04 22:00:00,Production,146.46,472.42,1464.59,9.45,1474.03,2023,2,4,22,Saturday,Non-Peak,618.88,1
4196,2023-02-04 23:00:00,Production,146.63,467.9,1466.33,9.36,1475.69,2023,2,4,23,Saturday,Non-Peak,614.53,1
4201,2023-02-05 00:00:00,Production,153.62,499.89,1536.15,10,1546.15,2023,2,5,0,Sunday,Non-Peak,653.51,1
4256,2023-02-05 11:00:00,Production,162.64,533.45,1626.44,10.67,1637.11,2023,2,5,11,Sunday,Peak,696.09,1
4275,2023-02-05 14:00:00,R&D,139.85,416.3,1398.48,8.33,1406.8,2023,2,5,14,Sunday,Peak,556.15,1
4281,2023-02-05 16:00:00,Production,141.65,466.99,1416.51,9.34,1425.85,2023,2,5,16,Sunday,Peak,608.64,1
4301,2023-02-05 20:00:00,Production,199,885.32,1990,17.71,2007.71,2023,2,5,20,Sunday,Non-Peak,1084.32,1
4321,2023-02-06 00:00:00,Production,151.17,533.12,1511.67,10.66,1522.33,2023,2,6,0,Monday,Non-Peak,684.29,1
4341,2023-02-06 04:00:00,Production,139.34,463.85,1393.38,9.28,1402.66,2023,2,6,4,Monday,Non-Peak,603.19,1
4371,2023-02-06 10:00:00,Production,152.7,522.05,1527,10.44,1537.44,2023,2,6,10,Monday,Peak,674.75,1
4376,2023-02-06 11:00:00,Production,139.74,420.08,1397.42,8.4,1405.82,2023,2,6,11,Monday,Peak,559.82,1
4396,2023-02-06 15:00:00,Production,137.32,573.73,1373.2,11.47,1384.68,2023,2,6,15,Monday,Peak,711.05,1
4426,2023-02-06 21:00:00,Production,143.38,549.31,1433.78,10.99,1444.76,2023,2,6,21,Monday,Non-Peak,692.69,1
4466,2023-02-07 05:00:00,Production,137.24,439.62,1372.42,8.79,1381.21,2023,2,7,5,Tuesday,Non-Peak,576.86,1
4526,2023-02-07 17:00:00,Production,156.34,516.15,1563.39,10.32,1573.71,2023,2,7,17,Tuesday,Peak,672.49,1
4546,2023-02-07 21:00:00,Production,144.65,527.42,1446.48,10.55,1457.03,2023,2,7,21,Tuesday,Non-Peak,672.07,1
4586,2023-02-08 05:00:00,Production,146.29,548.01,1462.95,10.96,1473.91,2023,2,8,5,Wednesday,Non-Peak,694.3,1
