timestamp,department,electricity_kWh,water_liters,electricity_cost,water_cost,total_cost
2023-01-01 07:00:00,Production,145.47,485.4,1454.75,9.71,1464.45
2023-01-01 07:00:00,Admin,50.05,192.96,500.51,3.86,504.37
2023-01-01 07:00:00,IT,54.07,144.22,540.67,2.88,543.56
2023-01-01 07:00:00,HR,38.39,106.06,383.87,2.12,385.99
2023-01-01 07:00:00,R&D,61.14,292.12,611.39,5.84,617.23
2023-01-01 08:00:00,Production,81.62,498.67,816.25,9.97,826.22
2023-01-01 08:00:00,Admin,51.02,187.02,510.23,3.74,513.98
2023-01-01 08:00:00,IT,57.11,156.03,571.15,3.12,574.27
2023-01-01 08:00:00,HR,43.4,99.89,433.98,2,435.98
2023-01-01 08:00:00,R&D,102.86,272.56,1028.56,5.45,1034.02
2023-01-01 09:00:00,Production,103.96,569.2,1039.63,11.38,1051.02
2023-01-01 09:00:00,Admin,55.87,265.71,558.69,5.31,564
2023-01-01 09:00:00,IT,52.6,168.46,525.99,3.37,529.35
2023-01-01 09:00:00,HR,41,92.45,409.97,1.85,411.81
2023-01-01 09:00:00,R&D,80.18,239.03,801.83,4.78,806.61
2023-01-01 10:00:00,Production,98.75,523.68,987.54,10.47,998.01
2023-01-01 10:00:00,Admin,56.21,195.17,562.05,3.9,565.96
2023-01-01 10:00:00,IT,48.25,143.56,482.51,2.87,485.38
2023-01-01 10:00:00,HR,36.43,108.34,364.33,2.17,366.49
2023-01-01 10:00:00,R&D,84.55,289.21,845.49,5.78,851.28
2023-01-01 11:00:00,Production,113.51,489.71,1135.1,9.79,1144.9
2023-01-01 11:00:00,Admin,52.6,223.45,525.99,4.47,530.46
2023-01-01 11:00:00,IT,79.49,132.66,794.91,2.65,797.56
2023-01-01 11:00:00,HR,42.5,105.2,425.05,2.1,427.15
2023-01-01 11:00:00,R&D,131.08,504.5,1310.77,10.09,1320.86
2023-01-01 12:00:00,Production,157.32,523.69,1573.15,10.47,1583.63
2023-01-01 12:00:00,Admin,57.35,171.37,573.45,3.43,576.88
2023-01-01 12:00:00,IT,77.38,133.59,773.79,2.67,776.46
2023-01-01 12:00:00,HR,44.24,114.11,442.45,2.28,444.73
2023-01-01 12:00:00,R&D,75.09,227.39,750.92,4.55,755.47
2023-01-01 13:00:00,Production,137.57,488.02,1375.73,9.76,1385.5
2023-01-01 13:00:00,Admin,50.13,243.61,501.3,4.87,506.17
2023-01-01 13:00:00,IT,38.9,149.31,389.04,2.99,392.03
2023-01-01 13:00:00,HR,29.29,107.24,292.91,2.14,295.06
2023-01-01 13:00:00,R&D,77.52,272.21,775.17,5.44,780.62
2023-01-01 14:00:00,Production,103.06,424.26,1030.64,8.49,1039.13
2023-01-01 14:00:00,Admin,40.74,184.61,407.4,3.69,411.09
2023-01-01 14:00:00,IT,62.6,157.71,625.98,3.15,629.13
2023-01-01 14:00:00,HR,42.31,87.87,423.1,1.76,424.85
2023-01-01 14:00:00,R&D,81.16,215.71,811.64,4.31,815.96
2023-01-01 15:00:00,Production,137.45,553.31,1374.49,11.07,1385.56
2023-01-01 15:00:00,Admin,36.22,171.87,362.23,3.44,365.67
2023-01-01 15:00:00,IT,64.57,155.14,645.67,3.1,648.77
2023-01-01 15:00:00,HR,45.15,157.79,451.5,3.16,454.66
2023-01-01 15:00:00,R&D,106.62,279.65,1066.18,5.59,1071.77
2023-01-01 16:00:00,Production,113.69,537.95,1136.95,10.76,1147.71
2023-01-01 16:00:00,Admin,51.65,174.32,516.5,3.49,519.99
2023-01-01 16:00:00,IT,94.72,112.65,947.2,2.25,949.45
2023-01-01 16:00:00,HR,35.85,101.2,358.55,2.02,360.57
2023-01-01 16:00:00,R&D,70.56,282.67,705.61,5.65,711.27
2023-01-01 17:00:00,Production,151.21,506.43,1512.08,10.13,1522.2
2023-01-01 17:00:00,Admin,42.7,206.49,426.96,4.13,431.09
2023-01-01 17:00:00,IT,95.84,186.87,958.36,3.74,962.09
2023-01-01 17:00:00,HR,19.75,102.8,197.49,2.06,199.54
2023-01-01 17:00:00,R&D,71.11,199.93,711.1,4,715.1
2023-01-01 18:00:00,Production,130.1,543.29,1301,10.87,1311.86
2023-01-01 18:00:00,Admin,46.66,190.46,466.58,3.81,470.38
2023-01-01 18:00:00,IT,86.48,158.1,864.82,3.16,867.98
2023-01-01 18:00:00,HR,43.77,124.77,437.73,2.5,440.23
2023-01-01 18:00:00,R&D,49.61,235.47,496.13,4.71,500.84
2023-01-01 19:00:00,Production,115.25,593.6,1152.52,11.87,1164.39
2023-01-01 19:00:00,Admin,17.59,169.27,175.87,3.39,179.26
2023-01-01 19:00:00,IT,30.08,124,300.76,2.48,303.24
2023-01-01 19:00:00,HR,35.6,101.96,356,2.04,358.03
2023-01-01 19:00:00,R&D,81.17,320.44,811.7,6.41,818.11
2023-01-01 20:00:00,Production,100.37,523.11,1003.7,10.46,1014.16
2023-01-01 20:00:00,Admin,47.98,201.83,479.75,4.04,483.79
2023-01-01 20:00:00,IT,61.7,163.24,617.03,3.26,620.29
2023-01-01 20:00:00,HR,33.85,131.67,338.49,2.63,341.12
2023-01-01 20:00:00,R&D,76.96,267.65,769.64,5.35,775
2023-01-01 21:00:00,Production,110.27,510.38,1102.71,10.21,1112.92
2023-01-01 21:00:00,Admin,44.11,225.49,441.06,4.51,445.57
2023-01-01 21:00:00,IT,74.28,179.05,742.8,3.58,746.38
2023-01-01 21:00:00,HR,48.13,109.44,481.29,2.19,483.48
2023-01-01 21:00:00,R&D,91.03,228.7,910.35,4.57,914.92
2023-01-01 22:00:00,Production,119.58,505.87,1195.82,10.12,1205.94
2023-01-01 22:00:00,Admin,43.31,234.86,433.08,4.7,437.78
2023-01-01 22:00:00,IT,56.73,171.98,567.35,3.44,570.79
2023-01-01 22:00:00,HR,35.92,103.92,359.21,2.08,361.29
2023-01-01 22:00:00,R&D,106.11,250.63,1061.1,5.01,1066.11
2023-01-01 23:00:00,Production,115.22,542.7,1152.16,10.85,1163.01
2023-01-01 23:00:00,Admin,53.24,196.1,532.42,3.92,536.34
2023-01-01 23:00:00,IT,88.68,171.3,886.85,3.43,890.27
2023-01-01 23:00:00,HR,29.94,81.79,299.4,1.64,301.03
2023-01-01 23:00:00,R&D,95.41,270.01,954.14,5.4,959.54
2023-01-02 00:00:00,Production,119.76,455.14,1197.55,9.1,1206.65
2023-01-02 00:00:00,Admin,29.1,253.11,291,5.06,296.06
2023-01-02 00:00:00,IT,47.62,143.57,476.18,2.87,479.05
2023-01-02 00:00:00,HR,46.14,120.37,461.38,2.41,463.79
2023-01-02 00:00:00,R&D,84.9,234.79,848.99,4.7,853.69
2023-01-02 01:00:00,Production,131.18,543.63,1311.82,10.87,1322.69
2023-01-02 01:00:00,Admin,35.52,157.78,355.19,3.16,358.35
2023-01-02 01:00:00,IT,50.04,177.2,500.37,3.54,503.91
2023-01-02 01:00:00,HR,43.11,122.13,431.09,2.44,433.53
2023-01-02 01:00:00,R&D,73.95,249.86,739.54,5,744.53
2023-01-02 02:00:00,Production,126.45,458.64,1264.54,9.17,1273.72
2023-01-02 02:00:00,Admin,54.93,202.67,549.27,4.05,553.32
2023-01-02 02:00:00,IT,70.35,141.98,703.52,2.84,706.36
2023-01-02 02:00:00,HR,40.7,114.75,406.97,2.3,409.26
2023-01-02 02:00:00,R&D,81.95,226.81,819.54,4.54,824.07
2023-01-02 03:00:00,Production,165.52,520.31,1655.15,10.41,1665.56
2023-01-02 03:00:00,Admin,71.53,176.98,715.32,3.54,718.86
2023-01-02 03:00:00,IT,58.34,169.53,583.36,3.39,586.75
2023-01-02 03:00:00,HR,31.6,91.01,316.03,1.82,317.85
2023-01-02 03:00:00,R&D,100.65,195.7,1006.52,3.91,1010.43
2023-01-02 04:00:00,Production,126.84,593.81,1268.35,11.88,1280.23
2023-01-02 04:00:00,Admin,55.71,229.12,557.13,4.58,561.72
2023-01-02 04:00:00,IT,40.2,186.63,401.97,3.73,405.7
2023-01-02 04:00:00,HR,39.26,95.77,392.64,1.92,394.55
2023-01-02 04:00:00,R&D,45.74,290.62,457.37,5.81,463.19
2023-01-02 05:00:00,Production,125.51,513.94,1255.13,10.28,1265.41
2023-01-02 05:00:00,Admin,34.06,182.02,340.56,3.64,344.2
2023-01-02 05:00:00,IT,63.89,156.05,638.91,3.12,642.03
2023-01-02 05:00:00,HR,40.05,100.7,400.52,2.01,402.54
2023-01-02 05:00:00,R&D,73.74,202.03,737.4,4.04,741.44
2023-01-02 06:00:00,Production,122.41,525.72,1224.06,10.51,1234.57
2023-01-02 06:00:00,Admin,60.6,246.24,606.04,4.92,610.97
2023-01-02 06:00:00,IT,64.98,135.03,649.85,2.7,652.55
2023-01-02 06:00:00,HR,41.15,123.27,411.49,2.47,413.95
2023-01-02 06:00:00,R&D,121.21,302.66,1212.15,6.05,1218.2
2023-01-02 07:00:00,Production,99.59,486.55,995.92,9.73,1005.65
2023-01-02 07:00:00,Admin,56.45,241.06,564.54,4.82,569.36
2023-01-02 07:00:00,IT,53.5,143.15,534.95,2.86,537.82
2023-01-02 07:00:00,HR,50.58,73.62,505.84,1.47,507.31
2023-01-02 07:00:00,R&D,97.72,245.89,977.21,4.92,982.13
2023-01-02 08:00:00,Production,150.05,503.7,1500.47,10.07,1510.55
2023-01-02 08:00:00,Admin,59.82,209.92,598.15,4.2,602.35
2023-01-02 08:00:00,IT,34.45,148.89,344.49,2.98,347.47
2023-01-02 08:00:00,HR,39.94,106.05,399.38,2.12,401.5
2023-01-02 08:00:00,R&D,53.91,270.09,539.11,5.4,544.51
2023-01-02 09:00:00,Production,97.97,524.38,979.75,10.49,990.24
2023-01-02 09:00:00,Admin,49.37,228.65,493.73,4.57,498.31
2023-01-02 09:00:00,IT,53.3,140.49,533,2.81,535.81
2023-01-02 09:00:00,HR,34.7,88.11,346.97,1.76,348.74
2023-01-02 09:00:00,R&D,51.32,244.25,513.18,4.89,518.07
2023-01-02 10:00:00,Production,159.29,501.76,1592.95,10.04,1602.98
2023-01-02 10:00:00,Admin,55.15,236.14,551.46,4.72,556.18
2023-01-02 10:00:00,IT,58.32,145.58,583.15,2.91,586.06
2023-01-02 10:00:00,HR,32.64,108.69,326.36,2.17,328.53
2023-01-02 10:00:00,R&D,74.5,180.94,744.99,3.62,748.61
2023-01-02 11:00:00,Production,107.47,390.39,1074.7,7.81,1082.5
2023-01-02 11:00:00,Admin,55.77,209.34,557.66,4.19,561.84
2023-01-02 11:00:00,IT,45.42,151.59,454.16,3.03,457.19
2023-01-02 11:00:00,HR,23.94,103.05,239.36,2.06,241.42
2023-01-02 11:00:00,R&D,76.26,248.57,762.62,4.97,767.59
2023-01-02 12:00:00,Production,107.07,445.92,1070.69,8.92,1079.6
2023-01-02 12:00:00,Admin,52.18,227.32,521.82,4.55,526.37
2023-01-02 12:00:00,IT,59.88,179.6,598.8,3.59,602.4
2023-01-02 12:00:00,HR,63.74,115.22,637.43,2.3,639.74
2023-01-02 12:00:00,R&D,59.26,244.29,592.55,4.89,597.44
2023-01-02 13:00:00,Production,147.91,434.52,1479.15,8.69,1487.84
2023-01-02 13:00:00,Admin,36.01,216.89,360.14,4.34,364.48
2023-01-02 13:00:00,IT,53.13,137.48,531.28,2.75,534.03
2023-01-02 13:00:00,HR,34.08,87.04,340.76,1.74,342.5
2023-01-02 13:00:00,R&D,29.94,270.54,299.45,5.41,304.86
2023-01-02 14:00:00,Production,115.22,454.62,1152.21,9.09,1161.3
2023-01-02 14:00:00,Admin,52.37,208.21,523.73,4.16,527.9
2023-01-02 14:00:00,IT,67.51,130.45,675.14,2.61,677.75
2023-01-02 14:00:00,HR,60.43,124.29,604.33,2.49,606.82
2023-01-02 14:00:00,R&D,66.75,267.12,667.48,5.34,672.82
2023-01-02 15:00:00,Production,125.6,362.95,1255.95,7.26,1263.21
2023-01-02 15:00:00,Admin,52.6,172.87,525.97,3.46,529.43
2023-01-02 15:00:00,IT,42.91,155.35,429.13,3.11,432.24
2023-01-02 15:00:00,HR,33.48,100.71,334.82,2.01,336.83
2023-01-02 15:00:00,R&D,67.96,272.81,679.61,5.46,685.06
2023-01-02 16:00:00,Production,130.6,572.08,1305.96,11.44,1317.4
2023-01-02 16:00:00,Admin,32.3,169.02,322.98,3.38,326.36
2023-01-02 16:00:00,IT,65.57,137.92,655.67,2.76,658.43
2023-01-02 16:00:00,HR,44.88,123.7,448.8,2.47,451.28
2023-01-02 16:00:00,R&D,86.75,237.64,867.52,4.75,872.27
2023-01-02 17:00:00,Production,113.63,484.05,1136.3,9.68,1145.99
2023-01-02 17:00:00,Admin,52.9,262.26,528.98,5.25,534.22
2023-01-02 17:00:00,IT,55.95,168.95,559.47,3.38,562.85
2023-01-02 17:00:00,HR,19.62,84.88,196.19,1.7,197.89
2023-01-02 17:00:00,R&D,101.03,224.69,1010.32,4.49,1014.81
2023-01-02 18:00:00,Production,126.54,489.04,1265.39,9.78,1275.17
2023-01-02 18:00:00,Admin,58.92,202.87,589.24,4.06,593.3
2023-01-02 18:00:00,IT,37.82,172.88,378.21,3.46,381.67
2023-01-02 18:00:00,HR,45.09,118.71,450.94,2.37,453.31
2023-01-02 18:00:00,R&D,83.64,257.45,836.37,5.15,841.52
2023-01-02 19:00:00,Production,98.17,459.15,981.72,9.18,990.9
2023-01-02 19:00:00,Admin,50.72,185.67,507.16,3.71,510.87
2023-01-02 19:00:00,IT,54.79,166.58,547.87,3.33,551.2
2023-01-02 19:00:00,HR,37.3,85.32,373.01,1.71,374.72
2023-01-02 19:00:00,R&D,71.45,233.42,714.52,4.67,719.19
2023-01-02 20:00:00,Production,137.39,567.78,1373.92,11.36,1385.28
2023-01-02 20:00:00,Admin,33.68,208.43,336.78,4.17,340.95
2023-01-02 20:00:00,IT,33.32,179.92,333.19,3.6,336.79
2023-01-02 20:00:00,HR,41.81,139.65,418.05,2.79,420.85
2023-01-02 20:00:00,R&D,82.19,271.77,821.88,5.44,827.31
2023-01-02 21:00:00,Production,124.34,522.11,1243.37,10.44,1253.81
2023-01-02 21:00:00,Admin,68.82,240.36,688.2,4.81,693.01
2023-01-02 21:00:00,IT,62.76,152,627.58,3.04,630.62
2023-01-02 21:00:00,HR,30.1,98.11,301.04,1.96,303
2023-01-02 21:00:00,R&D,130.77,265.72,1307.74,5.31,1313.05
2023-01-02 22:00:00,Production,116.84,478.66,1168.4,9.57,1177.97
2023-01-02 22:00:00,Admin,58.52,130.38,585.22,2.61,587.83
2023-01-02 22:00:00,IT,40.65,124.1,406.51,2.48,408.99
2023-01-02 22:00:00,HR,24.97,96.09,249.72,1.92,251.65
2023-01-02 22:00:00,R&D,75.09,241.82,750.85,4.84,755.69
2023-01-02 23:00:00,Production,136.09,492.14,1360.89,9.84,1370.73
2023-01-02 23:00:00,Admin,68.49,233.8,684.9,4.68,689.57
2023-01-02 23:00:00,IT,44.74,160.33,447.42,3.21,450.63
2023-01-02 23:00:00,HR,37.31,83.4,373.11,1.67,374.78
2023-01-02 23:00:00,R&D,80.01,254.75,800.14,5.09,805.23
2023-01-03 00:00:00,Production,120.28,498.79,1202.79,9.98,1212.76
2023-01-03 00:00:00,Admin,48.85,204.65,488.52,4.09,492.61
2023-01-03 00:00:00,IT,59.51,139.13,595.09,2.78,597.87
2023-01-03 00:00:00,HR,53.89,60.11,538.86,1.2,540.06
2023-01-03 00:00:00,R&D,104.92,187.8,1049.22,3.76,1052.97
2023-01-03 01:00:00,Production,125.8,487.26,1257.97,9.75,1267.71
2023-01-03 01:00:00,Admin,35.92,176.67,359.25,3.53,362.78
2023-01-03 01:00:00,IT,54.57,148.61,545.72,2.97,548.69
2023-01-03 01:00:00,HR,49.36,119.07,493.57,2.38,495.95
2023-01-03 01:00:00,R&D,65.91,228.15,659.11,4.56,663.67
2023-01-03 02:00:00,Production,109.51,524.47,1095.1,10.49,1105.59
2023-01-03 02:00:00,Admin,46.49,193.12,464.93,3.86,468.79
2023-01-03 02:00:00,IT,70.66,158.89,706.64,3.18,709.82
2023-01-03 02:00:00,HR,56.46,84.89,564.64,1.7,566.34
2023-01-03 02:00:00,R&D,91.86,240.71,918.62,4.81,923.43
2023-01-03 03:00:00,Production,86.6,588.23,866.04,11.76,877.81
2023-01-03 03:00:00,Admin,44.77,231.47,447.73,4.63,452.36
2023-01-03 03:00:00,IT,79.74,114.94,797.36,2.3,799.66
2023-01-03 03:00:00,HR,27.2,126.32,271.96,2.53,274.48
2023-01-03 03:00:00,R&D,44.93,233.65,449.31,4.67,453.98
2023-01-03 04:00:00,Production,109.1,519.96,1091.02,10.4,1101.42
2023-01-03 04:00:00,Admin,59.72,199.07,597.18,3.98,601.16
2023-01-03 04:00:00,IT,54.55,148.86,545.46,2.98,548.44
2023-01-03 04:00:00,HR,61.55,110.08,615.52,2.2,617.73
2023-01-03 04:00:00,R&D,83.42,244.48,834.17,4.89,839.06
2023-01-03 05:00:00,Production,94.23,505.04,942.31,10.1,952.41
2023-01-03 05:00:00,Admin,51.96,170.65,519.58,3.41,523
2023-01-03 05:00:00,IT,90.08,164.35,900.84,3.29,904.12
2023-01-03 05:00:00,HR,42.56,114.74,425.6,2.29,427.9
2023-01-03 05:00:00,R&D,59.92,265.31,599.25,5.31,604.55
2023-01-03 06:00:00,Production,83.18,436.02,831.83,8.72,840.55
2023-01-03 06:00:00,Admin,46.52,205.96,465.2,4.12,469.32
2023-01-03 06:00:00,IT,50.83,121.87,508.27,2.44,510.71
2023-01-03 06:00:00,HR,53.41,86.74,534.13,1.73,535.87
2023-01-03 06:00:00,R&D,61.01,328.97,610.12,6.58,616.7
2023-01-03 07:00:00,Production,121.91,508.95,1219.06,10.18,1229.24
2023-01-03 07:00:00,Admin,44.24,203.66,442.44,4.07,446.51
2023-01-03 07:00:00,IT,34.66,169.74,346.57,3.39,349.96
2023-01-03 07:00:00,HR,39.65,126.56,396.5,2.53,399.03
2023-01-03 07:00:00,R&D,48.84,237.99,488.41,4.76,493.17
2023-01-03 08:00:00,Production,132.65,548.63,1326.48,10.97,1337.45
2023-01-03 08:00:00,Admin,32.37,234.32,323.71,4.69,328.4
2023-01-03 08:00:00,IT,58.88,162.41,588.83,3.25,592.08
2023-01-03 08:00:00,HR,50.65,101.79,506.46,2.04,508.49
2023-01-03 08:00:00,R&D,91.2,282.42,911.96,5.65,917.61
2023-01-03 09:00:00,Production,110.93,531.65,1109.25,10.63,1119.88
2023-01-03 09:00:00,Admin,54.3,206.23,542.96,4.12,547.09
2023-01-03 09:00:00,IT,72.28,152.68,722.77,3.05,725.83
2023-01-03 09:00:00,HR,29.19,115.8,291.89,2.32,294.21
2023-01-03 09:00:00,R&D,102.58,247.59,1025.81,4.95,1030.77
2023-01-03 10:00:00,Production,138.77,474.2,1387.66,9.48,1397.14
2023-01-03 10:00:00,Admin,35.95,215.03,359.48,4.3,363.78
2023-01-03 10:00:00,IT,63.33,140.43,633.32,2.81,636.13
2023-01-03 10:00:00,HR,37.39,102.02,373.9,2.04,375.94
2023-01-03 10:00:00,R&D,108.94,255.9,1089.4,5.12,1094.51
2023-01-03 11:00:00,Production,137.36,514.15,1373.55,10.28,1383.84
2023-01-03 11:00:00,Admin,50.82,231.96,508.23,4.64,512.87
2023-01-03 11:00:00,IT,78.35,136.33,783.48,2.73,786.2
2023-01-03 11:00:00,HR,62.99,94.56,629.89,1.89,631.78
2023-01-03 11:00:00,R&D,46.36,197.24,463.64,3.94,467.58
2023-01-03 12:00:00,Production,111.6,485.91,1115.96,9.72,1125.68
2023-01-03 12:00:00,Admin,39.94,168.47,399.39,3.37,402.76
2023-01-03 12:00:00,IT,59.48,154.68,594.8,3.09,597.89
2023-01-03 12:00:00,HR,29.29,110.24,292.94,2.2,295.15
2023-01-03 12:00:00,R&D,99.69,243.58,996.86,4.87,1001.74
2023-01-03 13:00:00,Production,166.19,466.81,1661.94,9.34,1671.28
2023-01-03 13:00:00,Admin,51.66,214.77,516.65,4.3,520.94
2023-01-03 13:00:00,IT,36.45,151.48,364.51,3.03,367.54
2023-01-03 13:00:00,HR,33.77,91.67,337.69,1.83,339.52
2023-01-03 13:00:00,R&D,70.08,244.96,700.81,4.9,705.71
2023-01-03 14:00:00,Production,148.41,471.46,1484.1,9.43,1493.53
2023-01-03 14:00:00,Admin,53.44,188.7,534.36,3.77,538.14
2023-01-03 14:00:00,IT,63.04,119.69,630.44,2.39,632.83
2023-01-03 14:00:00,HR,31.6,102.47,315.99,2.05,318.04
2023-01-03 14:00:00,R&D,67.74,238.37,677.44,4.77,682.21
2023-01-03 15:00:00,Production,130.87,554.18,1308.7,11.08,1319.78
2023-01-03 15:00:00,Admin,48.23,176.05,482.31,3.52,485.83
2023-01-03 15:00:00,IT,73.26,130.99,732.62,2.62,735.23
2023-01-03 15:00:00,HR,34.82,103.36,348.24,2.07,350.31
2023-01-03 15:00:00,R&D,10.38,223.89,103.84,4.48,108.32
2023-01-03 16:00:00,Production,110.21,552.21,1102.11,11.04,1113.16
2023-01-03 16:00:00,Admin,33.61,213.88,336.06,4.28,340.34
2023-01-03 16:00:00,IT,68.86,172.17,688.6,3.44,692.04
2023-01-03 16:00:00,HR,44.06,110.73,440.56,2.21,442.78
2023-01-03 16:00:00,R&D,101.33,285.08,1013.33,5.7,1019.04
2023-01-03 17:00:00,Production,107.02,524.03,1070.16,10.48,1080.64
2023-01-03 17:00:00,Admin,48.33,204.4,483.29,4.09,487.38
2023-01-03 17:00:00,IT,49.66,159.9,496.57,3.2,499.77
2023-01-03 17:00:00,HR,66.21,215.53,662.13,4.31,666.44
2023-01-03 17:00:00,R&D,80.49,252.7,804.93,5.05,809.98
2023-01-03 18:00:00,Production,132.91,608.16,1329.1,12.16,1341.26
2023-01-03 18:00:00,Admin,52.67,187.96,526.66,3.76,530.42
2023-01-03 18:00:00,IT,58.57,155.58,585.71,3.11,588.82
2023-01-03 18:00:00,HR,41.76,106.13,417.55,2.12,419.68
2023-01-03 18:00:00,R&D,101.47,219.2,1014.73,4.38,1019.11
2023-01-03 19:00:00,Production,83.8,548.25,838.01,10.97,848.97
2023-01-03 19:00:00,Admin,44.41,211.32,444.11,4.23,448.33
2023-01-03 19:00:00,IT,58.03,109.3,580.34,2.19,582.53
2023-01-03 19:00:00,HR,34.45,128.22,344.48,2.56,347.04
2023-01-03 19:00:00,R&D,55.4,244.67,554.03,4.89,558.92
2023-01-03 20:00:00,Production,99.58,535.42,995.75,10.71,1006.46
2023-01-03 20:00:00,Admin,61.22,239.32,612.19,4.79,616.97
2023-01-03 20:00:00,IT,69.75,148.02,697.53,2.96,700.49
2023-01-03 20:00:00,HR,27.73,124.9,277.27,2.5,279.77
2023-01-03 20:00:00,R&D,79.09,257.3,790.88,5.15,796.03
2023-01-03 21:00:00,Production,105.78,466.54,1057.83,9.33,1067.16
2023-01-03 21:00:00,Admin,37.48,243.31,374.85,4.87,379.71
2023-01-03 21:00:00,IT,67.58,149.42,675.83,2.99,678.81
2023-01-03 21:00:00,HR,43.43,106.85,434.27,2.14,436.41
2023-01-03 21:00:00,R&D,89.2,268.23,891.99,5.36,897.35
2023-01-03 22:00:00,Production,123.93,535.45,1239.3,10.71,1250.01
2023-01-03 22:00:00,Admin,39.69,198.51,396.93,3.97,400.9
2023-01-03 22:00:00,IT,49.85,186.02,498.54,3.72,502.26
2023-01-03 22:00:00,HR,32.59,99.79,325.92,2,327.91
2023-01-03 22:00:00,R&D,96.81,230.42,968.13,4.61,972.74
2023-01-03 23:00:00,Production,114.46,498.73,1144.62,9.97,1154.59
2023-01-03 23:00:00,Admin,45.48,127.28,454.77,2.55,457.32
2023-01-03 23:00:00,IT,75.35,128.13,753.53,2.56,756.09
2023-01-03 23:00:00,HR,30.33,99.28,303.3,1.99,305.29
2023-01-03 23:00:00,R&D,128.04,249.32,1280.41,4.99,1285.39
2023-01-04 00:00:00,Production,115.58,501.34,1155.81,10.03,1165.83
2023-01-04 00:00:00,Admin,41.24,201.13,412.37,4.02,416.39
2023-01-04 00:00:00,IT,44.98,144.38,449.76,2.89,452.64
2023-01-04 00:00:00,HR,49.89,109.35,498.89,2.19,501.08
2023-01-04 00:00:00,R&D,107.99,277.74,1079.87,5.55,1085.43
2023-01-04 01:00:00,Production,156.24,517.9,1562.4,10.36,1572.75
2023-01-04 01:00:00,Admin,58.95,219.06,589.52,4.38,593.9
2023-01-04 01:00:00,IT,61.72,169,617.18,3.38,620.56
2023-01-04 01:00:00,HR,60.75,89.66,607.53,1.79,609.32
2023-01-04 01:00:00,R&D,72.61,256.14,726.1,5.12,731.22
2023-01-04 02:00:00,Production,106.97,475.81,1069.72,9.52,1079.23
2023-01-04 02:00:00,Admin,39.68,184.12,396.84,3.68,400.52
2023-01-04 02:00:00,IT,59.63,192.85,596.35,3.86,600.2
2023-01-04 02:00:00,HR,30.67,111.3,306.68,2.23,308.9
2023-01-04 02:00:00,R&D,80.76,253.6,807.6,5.07,812.67
2023-01-04 03:00:00,Production,109.95,510.58,1099.55,10.21,1109.76
2023-01-04 03:00:00,Admin,47.43,149.94,474.26,3,477.26
2023-01-04 03:00:00,IT,73.99,167.46,739.93,3.35,743.28
2023-01-04 03:00:00,HR,27.74,78.03,277.42,1.56,278.98
